pessoa feliz;predict_arvore;proba_arvore;proba_naive;predict_naive;proba_reg;predict_reg
1;1;1.0;1.0;1;0.9966706562304557;1
0;0;0.2;3.5569920810116676e-14;0;0.8611363801699099;1
1;1;1.0;1.0;1;0.9973537890471481;1
1;1;0.8888888888888888;4.42733983923697e-11;0;0.8796325534201432;1
1;1;0.75;1.0;1;0.9958352202414897;1
1;1;1.0;3.958758296220189e-20;0;0.7713632299823463;1
0;1;0.6666666666666666;3.610675722615085e-19;0;0.8114219632918184;1
1;1;1.0;5.811691907451614e-20;0;0.5297995034664328;1
1;1;1.0;1.0363288219837221e-10;0;0.999690677633684;1
1;1;1.0;2.1138382286011023e-10;0;0.9919959544985947;1
1;1;0.7142857142857143;4.0077695314292894e-17;0;0.6986391844351647;1
1;1;1.0;2.0074836659488806e-10;0;0.9996807277365142;1
1;1;0.8;2.0961876944304141e-19;0;0.5440523401635764;1
0;0;0.2;1.1433905905397453e-49;0;0.00022921246064226987;0
1;1;1.0;1.1109744404408882e-15;0;0.8986004807166705;1
1;1;1.0;1.0;1;0.997858191207925;1
0;1;0.75;1.6980423788279818e-22;0;0.4609194725112145;0
1;1;1.0;6.356288083053493e-12;0;0.9974734674542868;1
0;0;0.2;8.300481108596933e-17;0;0.8430063971975975;1
1;1;1.0;5.2711571649863786e-20;0;0.5527918052806795;1
1;1;1.0;8.381693288649828e-18;0;0.4932257839102222;0
1;1;0.8888888888888888;2.1794088891283253e-12;0;0.9331992874459143;1
1;1;1.0;8.587498458921619e-10;0;0.9999190818499787;1
1;1;0.5714285714285714;1.0;1;0.9894712734348972;1
1;1;1.0;2.3583820089841384e-19;0;0.25131580649664836;0
1;1;1.0;1.0;1;0.9852616776984651;1
1;1;1.0;5.768726256098748e-18;0;0.5995936214526567;1
0;0;0.2857142857142857;3.6021780618742635e-21;0;0.4460334314291143;0
0;1;0.625;4.941570142335046e-20;0;0.3559271396794881;0
1;1;0.6;7.470530631196474e-13;0;0.9971608666876144;1
1;1;0.6;1.0;1;0.9976208574474045;1
0;0;0.2857142857142857;3.394326833988291e-20;0;0.4916726007654299;0
0;0;0.4;8.266187540774825e-18;0;0.5301718439396662;1
1;1;1.0;1.8281577547221472e-13;0;0.999908317834328;1
